id_acidente,id_veiculo,TipoVeiculo,SexoCondutor,idade_condutor,CategoriaHabilitacao,UsaCintoSeguranca,EstadoAlcoolizacao,escolaridade
D021800101,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800103,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800103,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800106,01,moto,Masculino,26,Sem Informação,Sem Informação,Branco,Sem Informação
D021800108,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800108,02,automóvel,Masculino,65,Sem Informação,Sem Informação,Branco,Sem Informação
D021800110,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800111,01,moto,Masculino,25,Inabilitado,Sem Informação,Branco,Sem Informação
D021800112,01,moto,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800113,01,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800113,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800114,01,moto,Masculino,25,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800117,01,automóvel,Masculino,41,Inabilitado,Sem Informação,Branco,Analfabeto
D021800117,02,moto,Masculino,25,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800118,01,automóvel,Masculino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800118,02,automóvel,Masculino,39,Sem Informação,Sem Informação,Branco,Sem Informação
D021800118,03,ônibus,Masculino,49,Sem Informação,Sem Informação,Branco,Sem Informação
D021800119,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Sem Informação
D021800119,02,automóvel,Masculino,49,Sem Informação,Sem Informação,Branco,Superior
D021800120,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800120,02,automóvel,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800121,01,moto,Masculino,76,Sem Informação,Sem Informação,Branco,Superior
D021800121,02,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800125,01,moto,Feminino,33,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800125,02,automóvel,Feminino,35,Sem Informação,Sem Informação,Branco,Superior
D021800126,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800130,01,automóvel,Masculino,50,Sem Informação,Sem Informação,Branco,Sem Informação
D021800132,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800132,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800135,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Sem Informação
D021800135,02,sem informação,Masculino,51,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800140,01,moto,Masculino,57,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800140,02,automóvel,Masculino,47,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800143,01,automóvel,Masculino,59,Sem Informação,Sem Informação,Branco,Sem Informação
D021800143,02,moto,Masculino,39,Sem Informação,Sem Informação,Branco,Sem Informação
D021800146,01,automóvel,Feminino,36,Habilitado,Sem Informação,Branco,Superior
D021800146,02,bicicleta,Masculino,13,Não Exigível,Sem Informação,Branco,Sem Informação
D021800148,01,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800148,02,automóvel,Feminino,32,Inabilitado,Sem Informação,Não Alcoolizado ,Ensino Médio
D021800154,01,moto,Masculino,43,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800154,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800157,01,caminhão,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800157,02,bicicleta,Masculino,41,Não Exigível,Sem Informação,Branco,Sem Informação
D021800159,01,automóvel,Masculino,30,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800160,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800160,02,ônibus,Masculino,71,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800162,01,automóvel,Feminino,24,Inabilitado,Sem Informação,Branco,Sem Informação
D021800165,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800168,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800168,02,automóvel,Feminino,45,Sem Informação,Sem Informação,Branco,Superior
D021800170,01,automóvel,Masculino,26,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800170,02,bicicleta,Masculino,SI,Não Exigível,Sem Informação,Branco,Sem Informação
D021800171,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800171,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800174,01,automóvel,Masculino,54,Sem Informação,Sem Informação,Branco,Sem Informação
D021800177,01,moto,Masculino,40,Sem Informação,Sem Informação,Branco,Superior
D021800177,02,automóvel,Masculino,65,Sem Informação,Sem Informação,Branco,Superior
D021800178,01,moto,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800178,02,caminhonete,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800179,01,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800181,01,moto,Masculino,27,Sem Informação,Sem Informação,Branco,Superior
D021800181,02,automóvel,Masculino,50,Sem Informação,Sem Informação,Branco,Sem Informação
D021800182,01,automóvel,Masculino,51,Sem Informação,Sem Informação,Branco,Superior
D021800182,02,bicicleta,Masculino,SI,Não Exigível,Sem Informação,Branco,Sem Informação
D021800183,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800183,02,automóvel,Masculino,32,Sem Informação,Sem Informação,Branco,Superior
D021800185,01,moto,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800185,02,automóvel,Masculino,18,Inabilitado,Sem Informação,Branco,Sem Informação
D021800188,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800188,02,micro-ônibus,Masculino,50,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800191,01,automóvel,Masculino,40,Sem Informação,Sem Informação,Suspeita de Álcool,Sem Informação
D021800192,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800192,02,moto,Masculino,26,Sem Informação,Sem Informação,Branco,Sem Informação
D021800193,01,moto,Masculino,20,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800193,02,automóvel,Masculino,21,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800195,01,moto,Masculino,30,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800195,02,automóvel,Masculino,58,Sem Informação,Sem Informação,Branco,Superior
D021800197,01,automóvel,Masculino,25,Sem Informação,Sem Informação,Branco,Sem Informação
D021800197,02,automóvel,Masculino,35,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800200,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800204,01,moto,Masculino,51,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800204,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800207,01,automóvel,Masculino,26,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800207,02,bicicleta,Masculino,49,Não Exigível,Sem Informação,Branco,Sem Informação
D021800208,01,moto,Masculino,20,Inabilitado,Sem Informação,Branco,Sem Informação
D021800208,02,automóvel,Masculino,20,Sem Informação,Sem Informação,Branco,Sem Informação
D021800209,01,automóvel,Masculino,35,Sem Informação,Sem Informação,Alcoolizado,Sem Informação
D021800211,01,moto,Masculino,33,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800211,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800213,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800217,01,caminhonete,Masculino,35,Sem Informação,Sem Informação,Branco,Superior
D021800217,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800220,01,ônibus,Masculino,61,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800224,01,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800229,01,automóvel,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800229,02,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Superior
D021800232,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800232,02,bicicleta,Masculino,41,Não Exigível,Sem Informação,Branco,Superior
D021800235,01,automóvel,Feminino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800235,02,caminhonete,Masculino,50,Sem Informação,Sem Informação,Suspeita de Álcool,Sem Informação
D021800238,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800238,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800241,01,caminhão,Masculino,31,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800241,02,moto,Masculino,53,Sem Informação,Sem Informação,Branco,Sem Informação
D021800241,03,automóvel,Feminino,30,Sem Informação,Sem Informação,Branco,Superior
D021800242,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Sem Informação
D021800243,01,automóvel,Masculino,46,Sem Informação,Sem Informação,Suspeita de Álcool,Sem Informação
D021800243,02,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800244,01,moto,Masculino,63,Sem Informação,Sem Informação,Branco,Superior
D021800248,01,ônibus,Masculino,46,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800251,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Sem Informação
D021800251,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800253,01,automóvel,Feminino,36,Habilitado,Sem Informação,Alcoolizado,Ensino Médio
D021800253,02,caminhão,Masculino,60,Habilitado,Sem Informação,Branco,Ensino Médio
D021800254,01,automóvel,Feminino,30,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800254,02,caminhonete,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800255,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800255,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800256,01,caminhonete,Masculino,33,Habilitado,Sem Informação,Suspeita de Álcool,Ensino Fundamental II
D021800258,01,automóvel,Masculino,31,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800261,01,ônibus,Masculino,43,Sem Informação,Sem Informação,Branco,Sem Informação
D021800269,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800269,02,automóvel,Masculino,59,Sem Informação,Sem Informação,Branco,Sem Informação
D021800271,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800271,02,automóvel,Feminino,25,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800274,01,moto,Masculino,50,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800274,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800275,01,automóvel,Feminino,41,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800277,01,automóvel,Masculino,49,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800277,02,automóvel,Masculino,25,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800278,01,automóvel,Masculino,38,Habilitado,Sem Informação,Branco,Ensino Médio
D021800278,02,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800278,03,moto,Masculino,25,Sem Informação,Sem Informação,Branco,Sem Informação
D021800279,01,moto,Masculino,19,Inabilitado,Sem Informação,Branco,Sem Informação
D021800279,02,automóvel,Feminino,68,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800280,01,automóvel,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800280,02,bicicleta,Masculino,21,Não Exigível,Sem Informação,Branco,Sem Informação
D021800281,01,automóvel,Masculino,26,Habilitado,Sem Informação,Branco,Superior
D021800281,02,caminhonete,Masculino,50,Habilitado,Sem Informação,Branco,Sem Informação
D021800281,03,automóvel,Masculino,47,Habilitado,Sem Informação,Branco,Sem Informação
D021800282,01,automóvel,Masculino,37,Sem Informação,Sem Informação,Branco,Superior
D021800283,01,moto,Masculino,44,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800283,02,automóvel,Feminino,41,Sem Informação,Sem Informação,Branco,Superior
D021800285,01,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800293,01,automóvel,Masculino,52,Sem Informação,Sem Informação,Branco,Sem Informação
D021800298,01,moto,Masculino,45,Sem Informação,Sem Informação,Branco,Superior
D021800301,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Superior
D021800303,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800303,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800304,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800306,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800307,01,caminhonete,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800308,01,moto,Masculino,38,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800308,02,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Sem Informação
D021800311,01,moto,Masculino,44,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800312,01,automóvel,Masculino,39,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800312,02,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800313,01,moto,Masculino,20,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800317,01,moto,Masculino,36,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800317,02,automóvel,Masculino,54,Sem Informação,Sem Informação,Branco,Superior
D021800318,01,moto,Masculino,39,Sem Informação,Sem Informação,Branco,Superior
D021800318,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800322,01,moto,Masculino,39,Habilitado,Sem Informação,Branco,Superior
D021800322,02,automóvel,Masculino,33,Sem Informação,Sem Informação,Branco,Sem Informação
D021800325,01,ônibus,Masculino,51,Sem Informação,Sem Informação,Branco,Sem Informação
D021800326,01,moto,Masculino,26,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800327,01,caminhonete,Masculino,24,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800327,02,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800329,01,moto,Masculino,39,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800330,01,moto,Masculino,42,Sem Informação,Sem Informação,Branco,Sem Informação
D021800333,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800333,02,sem informação,Masculino,58,Sem Informação,Sem Informação,Branco,Superior
D021800337,01,automóvel,Feminino,43,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800337,02,moto,Masculino,36,Sem Informação,Sem Informação,Branco,Sem Informação
D021800338,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800338,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800340,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800340,02,moto,Masculino,51,Habilitado,Sem Informação,Branco,Ensino Fundamental I
D021800344,01,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800344,02,automóvel,Masculino,20,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800354,01,moto,Masculino,36,Sem Informação,Sem Informação,Branco,Superior
D021800354,02,caminhonete,Masculino,40,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800357,01,caminhonete,Masculino,45,Habilitado,Sem Informação,Branco,Ensino Fundamental I
D021800358,01,moto,Masculino,34,Inabilitado,Sem Informação,Branco,Sem Informação
D021800358,02,automóvel,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800359,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800359,02,automóvel,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800360,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800361,01,automóvel,Masculino,22,Sem Informação,Sem Informação,Alcoolizado,Ensino Fundamental II
D021800362,01,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800363,01,moto,Masculino,23,Inabilitado,Sem Informação,Branco,Sem Informação
D021800364,01,automóvel,Masculino,40,Sem Informação,Sem Informação,Branco,Superior
D021800364,02,automóvel,Masculino,41,Sem Informação,Sem Informação,Branco,Superior
D021800364,03,automóvel,Feminino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800365,01,automóvel,Masculino,65,Sem Informação,Sem Informação,Branco,Sem Informação
D021800365,02,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800367,01,moto,Masculino,44,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800372,01,moto,Masculino,56,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800372,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800373,01,automóvel,Masculino,26,Habilitado,Sem Informação,Branco,Superior
D021800373,02,automóvel,Masculino,33,Inabilitado,Sem Informação,Branco,Sem Informação
D021800374,01,automóvel,Masculino,87,Sem Informação,Sem Informação,Não Alcoolizado ,Ensino Médio
D021800374,02,automóvel,Feminino,34,Sem Informação,Sem Informação,Branco,Superior
D021800374,03,automóvel,Masculino,50,Sem Informação,Sem Informação,Não Alcoolizado ,Ensino Fundamental II
D021800377,01,moto,Masculino,29,Habilitado,Sem Informação,Branco,Ensino Médio
D021800377,02,automóvel,Masculino,29,Habilitado,Sem Informação,Branco,Ensino Médio
D021800378,01,moto,Masculino,33,Sem Informação,Sem Informação,Não Alcoolizado ,Ensino Fundamental II
D021800379,01,caminhonete,Masculino,44,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800379,02,bicicleta,Masculino,62,Não Exigível,Sem Informação,Branco,Sem Informação
D021800380,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Sem Informação
D021800380,02,automóvel,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800381,01,moto,Masculino,21,Habilitado,Sem Informação,Branco,Sem Informação
D021800385,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800386,01,moto,Masculino,44,Sem Informação,Sem Informação,Branco,Sem Informação
D021800386,02,automóvel,Masculino,61,Sem Informação,Sem Informação,Branco,Sem Informação
D021800389,01,moto,Masculino,55,Sem Informação,Sem Informação,Branco,Sem Informação
D021800389,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800390,01,moto,Masculino,22,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800399,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800401,01,moto,Masculino,20,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800401,02,moto,Masculino,22,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800402,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800403,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800403,02,automóvel,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800409,01,moto,Feminino,37,Habilitado,Sem Informação,Branco,Sem Informação
D021800411,01,automóvel,Masculino,46,Inabilitado,Sem Informação,Suspeita de Álcool,Ensino Fundamental II
D021800413,01,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Sem Informação
D021800413,02,caminhonete,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800418,01,automóvel,Masculino,17,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800419,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800422,01,automóvel,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800422,02,moto,Masculino,36,Sem Informação,Sem Informação,Branco,Sem Informação
D021800424,01,moto,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800424,02,automóvel,Masculino,26,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800426,01,automóvel,Masculino,34,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800426,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800427,01,moto,Masculino,54,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800427,02,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800435,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800435,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800435,03,automóvel,Masculino,27,Sem Informação,Sem Informação,Branco,Superior
D021800441,01,moto,Masculino,41,Sem Informação,Sem Informação,Branco,Sem Informação
D021800441,02,automóvel,Feminino,27,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800444,01,moto,Masculino,31,Sem Informação,Sem Informação,Branco,Sem Informação
D021800444,02,automóvel,Feminino,36,Sem Informação,Sem Informação,Branco,Superior
D021800445,01,sem informação,Masculino,32,Sem Informação,Sem Informação,Branco,Superior
D021800446,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800447,01,automóvel,Masculino,38,Inabilitado,Sem Informação,Branco,Ensino Fundamental I
D021800448,01,automóvel,Masculino,19,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800448,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800448,03,caminhonete,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800450,01,automóvel,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800450,02,caminhão,Masculino,51,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
