id_acidente,cadlogA,nomeA,cadlogB,nomeB,alt_num,referencia,data,hora,CodigoAcidente,dp,bo,automovel,moto,onibus,caminhao,bicicleta,onibus_fretado,onibus_urbano,microonibus,caminhonete,carroca,outros,sem_informacao,ferida,obito,det,distrito,princ_a,princ_b,TipoAcidente,latitude,longitude,geocoding,obstaculo,observacao,ocorrenciaPolicial
D021800021,06361,ELISIO TEIXEIRA LEITE, AV ,     ,,837,               ,22/02/2018,20:16,atropelamento,28 ,1498  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,29,06361,,Atropelamento,-23.4855,-46.6982,,,,
D021800022,11542,NORDESTINA, AV ,     ,,4831,               ,23/02/2018,09:47,com vítima,67 ,383   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,LE2,84,11542,,Colisão,-23.5184,-46.4206,,,,
D021800026,13014,MARGINAL DO RIO PINHEIROS (SYL, AV ,     ,,500,               ,27/02/2018,05:00,com vítima,15 ,1554  ,1,0,0,0,0,0,0,0,1,0,0,0,3,0,PB ,83,13014,,Colisão traseira,-23.636,-46.7224,,,,
D021800028,32468,OURO FINO, RUA,     ,,356,               ,09/02/2018,12:01,com vítima,24 ,1074  ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,LE3,18,32468,,Colisão traseira,-23.5073,-46.5089,,,,
D021800029,16340,PIRAJUSSARA, RUA,     ,,3922,               ,16/02/2018,07:50,com vítima,34 ,456   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE2,12,16340,,Colisão lateral,-23.5716,-46.7077,,,,
D021800030,19931,WASHINGTON LUIS, AV ,     ,,4921,               ,24/02/2018,10:30,com vítima,27 ,1876  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU3,15,19931,,Colisão traseira,-23.6359,-46.6699,,,,
D021800038,33642,MASAO WATANABE, AV ,     ,,480,               ,10/02/2018,17:23,atropelamento,72 ,978   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CN1,13,33642,,Atropelamento,-23.4639,-46.6673,,,,
D021800039,21183,PEDRO MARCINEIRO, RUA,     ,,230,               ,09/02/2018,11:24,atropelamento,85 ,515   ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,SU4,30,21183,,Atropelamento,-23.7416,-46.696,,,,
D021800040,19884,VOLUNTARIOS DA PATRIA, RUA,     ,,4860,               ,15/02/2018,07:42,com vítima,20 ,1813  ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CN2,51,19884,,Queda ocupante dentro,-23.479,-46.6323,,,,
D021800044,29757,NAZARE MENEZES, RUA,     ,,503,               ,03/02/2018,11:00,com vítima,47 ,1000  ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,OE3,17,29757,,Queda ocupante fora,-23.6443,-46.7883,,,,
D021800052,11542,NORDESTINA, AV ,     ,,1026,               ,09/02/2018,07:15,com vítima,22 ,500   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE2,74,11542,,Colisão lateral,-23.4995,-46.4398,,,,
D021800060,29772,MARGINAL DO RIO TIETE, AV ,     ,,16500,               ,02/02/2018,07:33,com vítima,28 ,1024  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,TT ,86,29772,,Colisão traseira,-23.5227,-46.6015,,,,
D021800061,06932,FEIJO, AV  REG  ,     ,,1130,               ,03/02/2018,05:30,atropelamento,30 ,516   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SE2,1 ,06932,,Atropelamento,-23.5588,-46.5681,,,,
D021800062,02563,AUGUSTO TOLLE, RUA,     ,,767,               ,16/02/2018,06:54,com vítima,20 ,1415  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN1,70,02563,,Colisão transversal,-23.4859,-46.633,,,,
D021800063,65067,ARATAIACU, RUA,     ,,35,               ,04/02/2018,14:00,com vítima,72 ,839   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,65067,,Choque,-23.452,-46.6809,,VE,,
D021800067,07396,JOSE GOMES FALCAO, RUA,     ,,156,               ,07/02/2018,16:55,com vítima,23 ,646   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,6 ,07396,,Colisão transversal,-23.5218,-46.6609,,,,
D021800070,03376,BILLINGS, AV  ENG  ,     ,,1900,               ,21/02/2018,08:20,com vítima,15 ,953   ,0,1,0,0,0,0,0,0,0,0,0,1,1,0,PB ,41,13014,,Colisão,-23.5446,-46.7366,,,verificado no IAT,
D021800071,02536,AUGUSTO FARINA, RUA,     ,,678,               ,15/02/2018,09:45,com vítima,51 ,488   ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,OE2,12,02536,,Colisão,-23.5824,-46.7382,,,,
D021800074,09170,INES, AV  STA  ,     ,,2700,               ,15/02/2018,20:14,atropelamento,38 ,1116  ,0,1,0,0,0,0,0,0,0,0,0,0,2,0,CN2,51,09170,,Atropelamento,-23.4622,-46.6376,,,,
D021800080,66114,GONCALO DO ABAETE, RUA S    ,     ,,200,               ,24/02/2018,01:45,com vítima,72 ,1268  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,66114,,Colisão frontal,-23.4598,-46.676,,,,
D021800081,33683,PAULO VI, AV ,     ,,1000,               ,13/02/2018,19:57,com vítima,14 ,1418  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,OE4,62,33683,,Colisão transversal,-23.5527,-46.6787,,,,
D021800084,19179,TRIUNFO, RUA BR    DO ,     ,,1260,               ,27/02/2018,12:45,com vítima,27 ,1825  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO1,15,19179,,Colisão traseira,-23.6182,-46.6777,,,,
D021800093,14698,LAPA, RUA NSRA  DA ,     ,,450,               ,20/02/2018,10:24,atropelamento,07 ,755   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO1,48,14698,,Atropelamento,-23.5231,-46.7042,,,,
D021800097,06819,EUSEBIO MATOSO, AV ,13228,MARIA DULCE NOGUEIRA GARCEZ, RUA DONA ,0,               ,06/02/2018,20:00,com vítima,14 ,1187  ,2,1,0,0,0,0,0,0,0,0,0,0,1,0,OE1,62,06819,13228,Colisão traseira,-23.5714,-46.6978,,,,
D021800098,28370,CARMOPOLIS DE MINAS, RUA,     ,,739,               ,12/02/2018,07:45,com vítima,19 ,1310  ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,CN2,89,28370,,Choque,-23.5215,-46.5852,,DE,,
D021800099,04128,CANGAIBA, AV ,     ,,1312,               ,16/02/2018,18:05,atropelamento,10 ,1365  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,LE3,18,04128,,Atropelamento,-23.5102,-46.5408,,,,
D021800101,73495,ERNESTO AUGUSTO LOPES, AV ,     ,,117,               ,23/02/2018,22:50,atropelamento,90 ,1912  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,89,73495,,Atropelamento,-23.5172,-46.5747,,,,
D021800103,06238,NACOES UNIDAS, AV  DAS,     ,,22015,               ,10/02/2018,00:20,com vítima,99 ,1500  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,PB ,16,13014,,Colisão lateral,-23.6734,-46.7002,,,,
D021800106,65052,ASPEREZA, RUA DA ,     ,,317,               ,20/02/2018,15:00,com vítima,33 ,1502  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,42,65052,,Queda moto/bicicleta,-23.4576,-46.748,,,,
D021800108,09078,IMIRIM, AV ,     ,,1910,               ,19/02/2018,22:50,com vítima,13 ,1418  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,CN1,70,09078,,Colisão transversal,-23.4896,-46.6505,,,,
D021800110,33306,LESTE-OESTE, VD ,     ,,1,               ,13/02/2018,00:29,atropelamento,08 ,1302  ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,CN3,78,33667,,Atropelamento,-23.5561,-46.6327,,,,
D021800111,18151,SEZEFREDO FAGUNDES, AV  CEL  ,     ,,13603,               ,12/02/2018,22:05,atropelamento,20 ,1336  ,0,1,0,0,0,0,0,0,0,0,0,0,4,0,CN2,81,18151,,Atropelamento,-23.3945,-46.5739,,,,
D021800112,31057,JOSE DE ARAGAO, RUA,     ,,17,               ,22/02/2018,11:00,com vítima,47 ,2118  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,43,31057,,Queda moto/bicicleta,-23.6781,-46.7757,,,,
D021800113,60675,AFONSO DE SAMPAIO E SOUSA, AV ,     ,,2810,               ,21/02/2018,08:59,com vítima,53 ,1071  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE3,57,60675,,Colisão,-23.5692,-46.4686,,,,
D021800114,14213,MOOCA, RUA DA ,     ,,1204,               ,08/02/2018,22:15,atropelamento,08 ,848   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,14,14213,,Atropelamento,-23.5539,-46.6131,,,,
D021800117,16838,RAIMUNDO PEREIRA DE MAGAL., AV ,     ,,16000,               ,27/02/2018,07:00,com vítima,46 ,900024,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,61,16838,,Colisão,-23.4112,-46.7331,,,,
D021800118,00852,ALVARENGA, ES  DO ,     ,,1416,               ,13/02/2018,22:00,com vítima,98 ,1168  ,2,0,1,0,0,0,0,0,0,0,0,0,1,0,SU3,58,00852,,Colisão traseira,-23.6919,-46.6615,,,,
D021800119,09135,INCONFIDENCIA MINEIRA, RUA,15703,JOSE LOPES DE TOLEDO, RUA CEL  ,0,               ,07/02/2018,21:00,com vítima,41 ,1285  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE1,4 ,09135,15703,Colisão transversal,-23.5751,-46.5145,,,,
D021800120,18068,SERRA DE BRAGANCA, RUA,19727,VILELA, RUA,0,               ,04/02/2018,18:48,com vítima,30 ,554   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,80,18068,19727,Colisão,-23.5439,-46.5645,,,,
D021800121,03199,BENJAMIN PEREIRA, RUA,     ,,663,               ,21/02/2018,01:59,com vítima,73 ,1830  ,0,2,0,0,0,0,0,0,0,0,0,0,2,0,CN2,39,03199,,Colisão,-23.4669,-46.5859,,,,
D021800125,19708,VILA EMA, AV ,08079,GOMES, RUA,0,               ,05/02/2018,08:45,com vítima,42 ,275   ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,SE1,72,08079,19708,Colisão lateral,-23.5814,-46.5532,,,,
D021800126,33015,SADAMU INOUE, AV ,     ,,0,PROX RUA NIELS ,24/02/2018,22:40,atropelamento,25 ,1753  ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,SU4,55,33015,,Atropelamento,-23.7726,-46.7199,,,,
D021800130,33642,MASAO WATANABE, AV ,     ,,740,               ,25/02/2018,19:52,atropelamento,72 ,1318  ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CN1,13,33642,,Atropelamento,-23.4642,-46.6674,,,,
D021800132,07836,GASTAO VIDIGAL, AV  DR   ,     ,,2000,               ,22/02/2018,13:35,com vítima,91 ,959   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO1,88,07836,,Choque,-23.5247,-46.741,,VE,,
D021800135,34122,MELO FREIRE, RUA,18071,SERRA DE JAPI, RUA,0,               ,02/02/2018,12:57,com vítima,30 ,395   ,0,1,0,0,0,0,0,0,0,0,0,1,1,0,LE1,80,18071,34122,Colisão,-23.5389,-46.5701,,,,
D021800140,12403,M'BOI MIRIM, ES ,     ,,7891,               ,12/02/2018,19:00,com vítima,100,1392  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,SO3,43,12403,,Colisão frontal,-23.7098,-46.783,,,,
D021800143,19723,VILARES, RUA DOM  ,     ,,2,               ,02/02/2018,09:30,com vítima,83 ,325   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,27,19723,,Colisão lateral,-23.6257,-46.6185,,,,
D021800146,04049,CAMPOS GERAIS, AV  BR    DE ,     ,,319,               ,28/02/2018,12:30,com vítima,34 ,615   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,SO2,54,04049,,Colisão,-23.6073,-46.7055,,,,
D021800148,09250,SALVADOR DALI, RUA,     ,,7,               ,13/02/2018,19:55,com vítima,98 ,1151  ,1,1,0,0,0,0,0,0,0,0,0,0,1,1,SU3,58,09250,,Colisão frontal,-23.709,-46.6556,,,,
D021800154,15425,CANTIDIO SAMPAIO, AV  DEP  ,     ,,1561,               ,22/02/2018,05:20,com vítima,72 ,1237  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,15425,,Colisão frontal,-23.4643,-46.6794,,,,
D021800157,27209,ANORIACU, RUA,     ,,0,NC             ,08/02/2018,19:10,com vítima,73 ,1313  ,0,0,0,1,1,0,0,0,0,0,0,0,1,0,CN2,39,27209,,Colisão traseira,-23.4606,-46.5707,,,,
D021800159,08262,GUAIAUNA, RUA,     ,,217,               ,23/02/2018,20:20,atropelamento,10 ,1612  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LE1,59,08262,,Atropelamento,-23.5297,-46.5507,,,,
D021800160,26426,INACIO CERVANTES, RUA,29444,SYLVIO LAGRECA (ANT. MARGINAL), RUA,0,               ,22/02/2018,17:15,com vítima,75 ,453   ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,OE2,65,26426,29444,Colisão frontal,-23.5902,-46.7964,,,,
D021800162,98943,ARLEY GILBERTO DE ARAUJO, AV ,     ,,500,               ,20/02/2018,13:04,atropelamento,73 ,1772  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,39,98943,,Atropelamento,-23.4443,-46.5772,,,,
D021800165,07703,GABRIELA MISTRAL, AV ,     ,,10,               ,15/02/2018,11:10,atropelamento,10 ,1326  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LE1,59,07703,,Atropelamento,-23.5193,-46.5462,,,,
D021800168,01324,ANDRE NUNES JUNIOR, RUA DR   ,13196,MARIA CURUPAITI, RUA,0,               ,23/02/2018,19:20,com vítima,13 ,1576  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN1,21,01324,13196,Colisão transversal,-23.495,-46.6462,,,,
D021800170,03771,INAJAR DE SOUZA, AV ,     ,,5500,               ,04/02/2018,12:00,com vítima,72 ,833   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NO2,13,03771,,Colisão frontal,-23.4635,-46.6719,,,,
D021800171,16530,BELFORD DUARTE, RUA,00665,ALFAIA RODRIGUES, RUA COMEN,0,               ,04/02/2018,16:30,com vítima,35 ,840   ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,SU3,38,00665,16530,Colisão lateral,-23.6569,-46.6595,,,No historico,
D021800174,15425,CANTIDIO SAMPAIO, AV  DEP  ,     ,,5103,               ,11/02/2018,06:43,com vítima,74 ,990   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,15425,,Choque,-23.4462,-46.7037,,CA,,
D021800177,33234,MARGINAL DIREITA DO TIETE, AV ,     ,,1,               ,25/02/2018,11:20,com vítima,33 ,1553  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,TT ,40,29772,,Colisão traseira,-23.5166,-46.7387,,,,
D021800178,12716,MANUEL GAYA, RUA,     ,,700,               ,21/02/2018,16:20,com vítima,39 ,881   ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,CN2,81,12716,,Colisão,-23.4646,-46.5991,,,,
D021800179,17064,RIBEIRO DO VALE, RUA,     ,,683,               ,10/02/2018,14:20,atropelamento,96 ,1444  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SO1,35,17064,,Atropelamento,-23.6106,-46.686,,,,
D021800181,75482,DOMINGOS DE MENDONCA, RUA,     ,,120,               ,11/02/2018,14:30,com vítima,53 ,881   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE3,33,75482,,Colisão lateral,-23.5947,-46.4358,,,,
D021800182,48038,CALIM EID (PTE RASA), AV ,18146,SEVERO, RUA S    ,0,               ,28/02/2018,16:10,com vítima,24 ,1589  ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,LE3,64,18146,48038,Colisão transversal,-23.5237,-46.4925,,,,
D021800183,16726,QUEIROZ FILHO, AV ,     ,,300,               ,13/02/2018,23:40,com vítima,91 ,780   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE4,88,16726,,Colisão,-23.5365,-46.7219,,,,
D021800185,04754,AGOSTINHO RUBIN, AV ,70852,MARCOLINA MENDES LEAL, RUA,0,               ,09/02/2018,20:30,com vítima,92 ,1289  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,19,04754,70852,Colisão transversal,-23.6566,-46.7614,,,,
D021800188,08253,PAULO LINCOLN DO VALLE PONTIN, AV ,00487,ALBERTO DE SOUSA, PCA COMEN,0,               ,23/02/2018,06:40,com vítima,73 ,1904  ,0,1,0,0,0,0,0,1,0,0,0,0,2,0,CN2,39,08253,10830,Colisão lateral,-23.4647,-46.5849,,,,
D021800191,07164,GIACOMO LAURI-VOLPI, RUA,     ,,386,               ,07/02/2018,01:52,com vítima,43 ,975   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SU3,22,07164,,Choque,-23.6806,-46.6525,,PO,,
D021800192,46936,JACU-PESSEGO/NOVA TRABALHADORE, AV ,     ,,2000,               ,11/02/2018,02:50,com vítima,64 ,1107  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,LE2,87,46936,,Colisão lateral,-23.505,-46.4571,,PA,,
D021800193,76317,GONCALO SOARES DE FRANCA, RUA,     ,,294,               ,28/02/2018,20:30,com vítima,101,1891  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU4,23,76317,,Colisão transversal,-23.7406,-46.7083,,,,
D021800195,14743,SABARA, AV  NSRA  DO ,     ,,1432,               ,16/02/2018,19:58,com vítima,99 ,1685  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU3,16,14743,,Colisão transversal,-23.6672,-46.6895,,,,
D021800197,02590,AURIVERDE, RUA,11791,LEOPOLDO FIGUEIREDO, RUA,0,               ,18/02/2018,19:14,com vítima,17 ,1484  ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,SE2,34,02590,11791,Colisão transversal,-23.5983,-46.5888,,,,
D021800200,75435,ARRAIAS DO ARAGUAIA, AV ,     ,,837,               ,21/02/2018,13:55,atropelamento,69 ,1992  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE1,4 ,75435,,Atropelamento,-23.5794,-46.5018,,,,
D021800204,35522,ANA DO SACRAMENTO ANDRADE, RUA,     ,,105,               ,28/02/2018,16:40,com vítima,73 ,2096  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,81,35522,,Colisão,-23.416,-46.5841,,,,
D021800207,67769,RUI DE MORAIS APOCALIPSE, RUA,     ,,361,               ,25/02/2018,10:33,com vítima,45 ,1305  ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NO2,11,67769,,Colisão frontal,-23.4726,-46.6881,,,,
D021800208,15043,ORENCIO VIDIGAL, AV  DR   ,06550,ENANI, RUA,0,               ,07/02/2018,17:52,com vítima,10 ,900016,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE1,59,06550,15043,Colisão frontal,-23.5308,-46.5387,,,,
D021800209,33734,ROSALIA IANNINI CONDE, AV ,     ,,272,               ,10/02/2018,00:10,com vítima,101,1052  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SU4,30,33734,,Choque,-23.738,-46.6888,,VE,,
D021800211,36081,ALBERTO BADRA, VD  ENG  ,     ,,10,               ,07/02/2018,16:30,com vítima,21 ,1106  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE3,59,36081,,Colisão,-23.5291,-46.5535,,,,
D021800213,10503,JOAO XXIII, AV ,     ,,992,               ,21/02/2018,12:05,atropelamento,41 ,721   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE1,4 ,10503,,Atropelamento,-23.5656,-46.5258,,,,
D021800217,02476,ATILIO INNOCENTI, RUA PROF ,     ,,642,               ,20/02/2018,19:10,com vítima,15 ,646   ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,SO1,35,02476,,Colisão lateral,-23.5923,-46.6794,,,,
D021800220,19206,TUIUTI, RUA,     ,,1330,               ,07/02/2018,17:00,com vítima,52 ,1094  ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LE1,80,19206,,Queda ocupante dentro,-23.5371,-46.5752,,,,
D021800224,12611,MANIFESTO, RUA,     ,,475,               ,08/02/2018,10:50,com vítima,17 ,561   ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,SE2,34,12611,,Outros,-23.577,-46.6023,,,,
D021800229,02944,BASILIO, RUA MAJ  ,05968,DOIS CORREGOS, RUA,0,               ,16/02/2018,09:00,com vítima,57 ,554   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,1 ,02944,5968,Colisão transversal,-23.5578,-46.5829,,,,
D021800232,20956,NINA STOCCO, RUA PROFA,     ,,400,               ,03/02/2018,14:40,com vítima,37 ,562   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,OE3,17,20956,,Colisão,-23.6268,-46.7619,,,,
D021800235,70923,ANTONIO FRANCISCO ROSA, RUA,     ,,4,               ,19/02/2018,13:52,com vítima,85 ,617   ,1,0,0,0,0,0,0,0,1,0,0,0,2,0,SU4,30,70923,,Colisão lateral,-23.7433,-46.6999,,,,
D021800238,04781,CERRO CORA, RUA,     ,,1100,               ,03/02/2018,15:00,com vítima,07 ,645   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE4,48,04781,,Colisão,-23.5382,-46.7076,,,,
D021800241,15188,OTAVIANO ALVES DE LIMA, AV ,     ,,5000,               ,03/02/2018,20:10,com vítima,87 ,860   ,1,1,0,1,0,0,0,0,0,0,0,0,2,0,TT ,29,29772,,Colisão,-23.5073,-46.7047,,,,
D021800242,08889,HUNGRIA, RUA,14883,OFELIA, RUA,0,               ,24/02/2018,07:35,com vítima,15 ,1758  ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,PB ,62,08889,14883,Queda moto/bicicleta,-23.5729,-46.6982,,,FONTE DA PLACA DO VEICULO 1 : IML,
D021800243,07921,CONCEICAO DAS ALAGOAS, RUA,09806,PIRES DO RIO, AV ,0,               ,02/02/2018,22:27,com vítima,22 ,818   ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,LE2,74,07921,9806,Colisão transversal,-23.5011,-46.4422,,,,
D021800244,02497,AUGUSTA, RUA,     ,,1771,               ,19/02/2018,19:06,atropelamento,78 ,1540  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,OE1,45,02497,,Atropelamento,-23.5583,-46.6605,,,,
D021800248,06897,FARIA LIMA, AV  BRIG ,     ,,442,               ,07/02/2018,06:50,atropelamento,14 ,1191  ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,OE4,62,06897,,Atropelamento,-23.5625,-46.6942,,,,
D021800251,17824,SAPOPEMBA, AV ,     ,,2430,               ,18/02/2018,11:30,com vítima,29 ,598   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,1 ,17824,,Colisão lateral,-23.5733,-46.565,,,,
D021800253,15032,ORATORIO, AV  DO ,     ,,2500,               ,16/02/2018,05:30,com vítima,42 ,348   ,1,0,0,1,0,0,0,0,0,0,0,0,1,0,SE1,72,15032,,Colisão lateral,-23.5924,-46.5449,,,,
D021800254,04128,CANGAIBA, AV ,     ,,2154,               ,23/02/2018,07:30,com vítima,10 ,1557  ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,LE3,18,04128,,Colisão traseira,-23.5077,-46.5339,,,,
D021800255,00929,ALVINOPOLIS, RUA,     ,,10,               ,26/02/2018,07:16,com vítima,10 ,1645  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,LE1,59,00929,,Colisão,-23.533,-46.5455,,,,
D021800256,44885,AURO SOARES DE M.ANDRADE, AV ,00690,ALFREDO DE CASTRO, RUA DR   ,0,               ,11/02/2018,07:53,com vítima,23 ,715   ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NO1,6 ,00690,44885,Choque,-23.5265,-46.6626,,PO,,
D021800258,69641,BENEDITO JACINTO MENDES, RUA,     ,,210,               ,24/02/2018,05:30,com vítima,41 ,1836  ,1,0,0,0,0,0,0,0,0,0,0,0,2,0,SE1,76,69641,,Choque,-23.5967,-46.5162,,VE,,
D021800261,15984,PEDRO II, PQ  DOM  ,     ,,944,               ,14/02/2018,03:50,atropelamento,01 ,953   ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CN3,78,15984,,Atropelamento,-23.5481,-46.6294,,,,
D021800269,12011,LOUREIRO DA CRUZ, RUA,     ,,63,               ,22/02/2018,19:19,com vítima,06 ,1166  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,49,12011,,Colisão lateral,-23.5686,-46.6351,,,,
